Repository_Name,Primary_Language,Stars_Count,Forks_Count,Open_Issues,Repository_Age_Months,Days_Since_Last_Update,Activity_Month,Monthly_Commit_Velocity,Total_Contributors,Active_Contributors_Last_30_Days,Total_Issues,Issue_Resolution_Rate,Total_Pull_Requests,PR_Merge_Rate,Release_Frequency,Contributor_Churn_Rate,Activity_Status
codecrafters-io/build-your-own-x,Markdown,466345,43749,474,94,51,1,163,152,69,2775,0.719506793,2184,0.85133582,7,0.069537169,Declining
codecrafters-io/build-your-own-x,Markdown,466345,43749,474,94,51,2,73,235,9,1746,0.904896232,1810,0.970517025,5,0.060876649,Active
codecrafters-io/build-your-own-x,Markdown,466345,43749,474,94,51,3,85,20,73,488,0.686473843,1922,0.669832165,7,0.076250369,Declining
codecrafters-io/build-your-own-x,Markdown,466345,43749,474,94,51,4,123,245,87,4910,0.422241616,3921,0.65614493,11,0.355896984,Declining
codecrafters-io/build-your-own-x,Markdown,466345,43749,474,94,51,5,192,196,98,4407,0.643804171,1950,0.949673299,0,0.48922451,Active
codecrafters-io/build-your-own-x,Markdown,466345,43749,474,94,51,6,13,241,18,1462,0.469323055,335,0.570039061,10,0.241477597,Active
sindresorhus/awesome,,437790,33191,71,141,18,1,111,135,12,620,0.921358501,3569,0.775602811,3,0.386772069,Declining
sindresorhus/awesome,,437790,33191,71,141,18,2,101,283,95,2797,0.578435907,1196,0.883095712,8,0.13003193,Active
sindresorhus/awesome,,437790,33191,71,141,18,3,146,77,33,4482,0.616568365,1243,0.934287453,0,0.42667273,Active
sindresorhus/awesome,,437790,33191,71,141,18,4,136,280,1,2292,0.470029589,361,0.904071531,9,0.419105875,Active
sindresorhus/awesome,,437790,33191,71,141,18,5,126,11,55,2741,0.932173494,874,0.941474728,2,0.144607374,Declining
sindresorhus/awesome,,437790,33191,71,141,18,6,147,98,9,854,0.660873528,2898,0.632125158,0,0.172786665,Active
freeCodeCamp/freeCodeCamp,TypeScript,437118,43387,327,135,0,1,112,44,55,1530,0.504397159,1231,0.588725267,4,0.245011484,Active
freeCodeCamp/freeCodeCamp,TypeScript,437118,43387,327,135,0,2,47,161,54,1687,0.929909218,3739,0.562424373,7,0.485309674,Declining
freeCodeCamp/freeCodeCamp,TypeScript,437118,43387,327,135,0,3,42,167,21,1796,0.80314026,2442,0.786757952,1,0.400218912,Declining
freeCodeCamp/freeCodeCamp,TypeScript,437118,43387,327,135,0,4,60,91,43,3616,0.625425784,2836,0.542164466,8,0.133775633,Declining
freeCodeCamp/freeCodeCamp,TypeScript,437118,43387,327,135,0,5,17,14,59,741,0.635805323,1823,0.685008765,11,0.278688248,Declining
freeCodeCamp/freeCodeCamp,TypeScript,437118,43387,327,135,0,6,61,157,84,93,0.682777309,1089,0.885856549,9,0.141106801,Active
